costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,tic,fyrc,sic,ebitda,revt
A,USD,STD,INDL,C,019671,2023-12-31,XTRACKERS MSCI ALL WORLD EX,DBAW,12,6722,,
A,USD,STD,INDL,C,019692,2023-12-31,FEC RESOURCES INC,FECOF,12,1311,-0.1590,0.0000
A,USD,STD,INDL,C,019712,2023-12-31,OXBRIDGE RE HOLDINGS LTD,OXBR,12,6331,-9.3670,-7.0490
A,USD,STD,FS,C,019713,2023-12-31,ATLANTIC UNION BANKSHRS CRP,AUB,12,6020,,1015.7480
A,USD,STD,INDL,C,019713,2023-12-31,ATLANTIC UNION BANKSHRS CRP,AUB,12,6020,364.5830,1015.7480
A,USD,STD,INDL,C,019717,2023-12-31,NEUROGENE INC,NGNE,12,2836,-53.1860,0.0000
A,USD,STD,INDL,C,019730,2023-06-30,PAYLOCITY HOLDING CORP,PCTY,6,7370,139.7760,1098.0360
A,USD,STD,INDL,C,019734,2023-12-31,WISDOMTREE FLO RATE TRE FUND,USFR,12,6722,,
A,USD,STD,INDL,C,019735,2023-12-31,ISHARES CURRENCY HG MSCI JPN,HEWJ,12,6722,,
I,USD,STD,INDL,C,019740,2023-12-31,ISHARES CURRENCY HG MSCI GER,HEWG,12,6722,,
A,USD,STD,INDL,C,019743,2023-12-31,ISHARES CRRENCY HD MSCI EAFE,HEFA,12,6722,,
A,USD,STD,INDL,C,019744,2023-12-31,JD.COM INC,JD,12,5961,5246.6110,152970.2400
A,USD,STD,INDL,C,019748,2023-12-31,ISHARES TREAS FLTG RATE BD,TFLO,12,6722,,
A,USD,STD,INDL,C,019752,2023-06-30,INVESTCORP CRDT MNGMT BDC,ICMB,6,6797,18.6060,26.6840
A,USD,STD,INDL,C,019753,2023-12-31,MAGNITE INC,MGNI,12,7310,93.2760,619.7100
A,USD,STD,INDL,C,019761,2023-12-31,HEPION PHARMACEUTICALS INC,HEPA,12,2836,-45.1910,0.0000
A,USD,STD,INDL,C,019767,2023-12-31,BTCS INC,BTCS,12,7370,-3.7080,1.3400
A,USD,STD,INDL,C,019771,2023-12-31,GALMED PHARMACEUTICALS LTD,GLMD,12,2836,-7.4610,0.0000
A,USD,STD,INDL,C,019802,2023-12-31,RIMINI STREET INC,RMNI,12,7370,60.9100,431.4960
A,CAD,STD,INDL,C,019805,2023-12-31,BMO MSCI EUR HI QUAL HDG CAN,ZEQ.,12,6722,,
A,CAD,STD,INDL,C,019808,2023-12-31,BMO S-TERM US IG CORP BD HGD,ZSU.,12,6722,,
A,CAD,STD,INDL,C,019809,2023-12-31,BMO MSCI EAFE INDEX ETF,ZEA.,12,6722,,
A,CAD,STD,INDL,C,019810,2023-12-31,BMO US HIGH DIV COVERED FUND,ZWH.,12,6722,,
A,CAD,STD,INDL,C,019811,2023-12-31,BMO FLOATING RATE HI YLD ETF,ZFH.,12,6722,,
A,CAD,STD,INDL,C,019812,2023-12-31,BMO EQUAL WEIGHT US BKS INDX,ZBKFF,12,6722,,
A,CAD,STD,INDL,C,019813,2023-12-31,BMO DISCOUNT BOND INDEX ETF,ZDB.,12,6722,,
A,USD,STD,FS,C,019817,2023-12-31,UNIVEST FINANCIAL CORP,UVSP,12,6020,,448.5540
A,USD,STD,INDL,C,019817,2023-12-31,UNIVEST FINANCIAL CORP,UVSP,12,6020,151.0450,448.5540
A,USD,STD,INDL,C,019824,2023-12-31,ANGLOGOLD ASHANTI PLC,AU,12,1040,1053.0000,4582.0000
A,USD,STD,INDL,C,019849,2023-12-31,A10 NETWORKS INC,ATEN,12,7372,51.7530,251.7000
A,USD,STD,INDL,C,019851,2023-12-31,CITY OFFICE REIT INC,CIO,12,6798,,179.0960
A,USD,STD,INDL,C,019855,2023-12-31,INVENTRUST PROPERTIES CORP,IVT,12,6798,,258.1190
A,CAD,STD,INDL,C,019856,2023-12-31,FLOW CAPITAL CORP,AHFCF,12,6159,2.1930,5.6830
A,USD,STD,INDL,C,019859,2023-12-31,AKEBIA THERAPEUTICS INC,AKBA,12,2836,-8.4480,194.6230
A,USD,STD,FS,C,019860,2023-12-31,W T B FINANCIAL CORP,WTBFA,12,6020,,495.1040
A,USD,STD,INDL,C,019860,2023-12-31,W T B FINANCIAL CORP,WTBFA,12,6020,149.4180,495.1040
A,USD,STD,FS,C,019873,2023-12-31,WASHINGTON TR BANCORP INC,WASH,12,6020,,364.7990
A,USD,STD,INDL,C,019873,2023-12-31,WASHINGTON TR BANCORP INC,WASH,12,6020,93.6260,364.7990
A,USD,STD,INDL,C,019877,2023-12-31,Q2 HOLDINGS INC,QTWO,12,7370,-2.2340,624.6240
I,USD,STD,INDL,C,019881,2023-12-31,2U INC,TWOUQ,12,8200,126.2460,945.9530
A,USD,STD,INDL,C,019884,2023-12-31,INVESCO INT BUYBACK ACHI ETF,IPKW,12,6722,,
A,USD,STD,INDL,C,019896,2023-06-30,VERDE RESOURCES INC,VRDR,6,1040,-3.0410,0.1580
A,CAD,STD,INDL,C,019901,2023-12-31,KNIGHT THERAPEUTICS INC,KHTRF,12,2834,56.8230,328.1990
A,USD,STD,INDL,C,019908,2023-12-31,FIVE9 INC,FIVN,12,7370,-40.0270,910.4880
A,USD,STD,INDL,C,019925,2023-12-31,TRIPLEPOINT VENTURE GWTH BDC,TPVG,12,6797,110.6010,137.4900
A,USD,STD,FS,C,019927,2023-12-31,MOELIS & CO,MC,12,6282,,876.4910
A,USD,STD,INDL,C,019927,2023-12-31,MOELIS & CO,MC,12,6282,-30.4660,854.7480
I,USD,STD,INDL,C,019935,2023-12-31,ENLINK MIDSTREAM LLC,ENLC,12,4922,1370.6000,6900.1000
